file,rel_path,porosity,scale_factor,orig_peak,clip_ratio,status
6-6-22_z3840_y239_x511.npy,6-6-22_z3840_y239_x511.npy,0.07702910900115967,0.8281475522324492,42263,0.0,ok
6-6-21_z2112_y393_x503.npy,6-6-21_z2112_y393_x503.npy,0.07711267471313477,0.8257833144582861,42384,0.0,ok
6-6-21_z1536_y510_x308.npy,6-6-21_z1536_y510_x308.npy,0.07712167501449585,0.7678806494076349,45580,0.0,ok
6-6-21_z5696_y261_x430.npy,6-6-21_z5696_y261_x430.npy,0.07714182138442993,0.7591038237144034,46107,0.0,ok
6-6-21_z2048_y328_x375.npy,6-6-21_z2048_y328_x375.npy,0.07715868949890137,0.7134121483897269,49060,0.0,ok
6-6-21_z1536_y638_x564.npy,6-6-21_z1536_y638_x564.npy,0.0771634578704834,0.7438420504537436,47053,0.0,ok
6-6-22_z2816_y456_x595.npy,6-6-22_z2816_y456_x595.npy,0.07716876268386841,0.8724480893386843,40117,0.0,ok
6-6-22_z1408_y448_x240.npy,6-6-22_z1408_y448_x240.npy,0.07721996307373047,0.7984669434685404,43834,0.0,ok
6-6-21_z1408_y382_x564.npy,6-6-21_z1408_y382_x564.npy,0.07722592353820801,0.7702464788732394,45440,0.0,ok
6-6-21_z3520_y254_x515.npy,6-6-21_z3520_y254_x515.npy,0.07725107669830322,0.7493202594789012,46709,0.0,ok
6-6-21_z3520_y382_x387.npy,6-6-21_z3520_y382_x387.npy,0.07726049423217773,0.825861255309108,42380,0.0,ok
6-6-20 全部_z4544_y577_x396.npy,6-6-20 全部_z4544_y577_x396.npy,0.07727831602096558,0.7767593599502874,45059,0.0,ok
6-6-20 全部_z2688_y570_x244.npy,6-6-20 全部_z2688_y570_x244.npy,0.07729661464691162,0.6949684285771018,50362,0.0,ok
6-6-21_z2240_y331_x631.npy,6-6-21_z2240_y331_x631.npy,0.0773153305053711,0.6662605649889591,52532,0.0,ok
6-6-21_z640_y433_x318.npy,6-6-21_z640_y433_x318.npy,0.0773545503616333,0.7227223920046254,48428,0.0,ok
6-6-21_z3968_y533_x514.npy,6-6-21_z3968_y533_x514.npy,0.07735615968704224,0.802034877059511,43639,0.0,ok
6-6-22_z3840_y303_x447.npy,6-6-22_z3840_y303_x447.npy,0.07736504077911377,0.8452268830447487,41409,0.0,ok
6-6-21_z2240_y459_x247.npy,6-6-21_z2240_y459_x247.npy,0.0774107575416565,0.7134121483897269,49060,0.0,ok
6-6-20 全部_z2944_y269_x377.npy,6-6-20 全部_z2944_y269_x377.npy,0.07748246192932129,0.8380824673147838,41762,0.0,ok
6-6-21_z576_y311_x580.npy,6-6-21_z576_y311_x580.npy,0.07754802703857422,0.7198239516278304,48623,0.0,ok
6-6-21_z1280_y597_x385.npy,6-6-21_z1280_y597_x385.npy,0.07757383584976196,0.6887187862807218,50819,0.0,ok
6-6-21_z1600_y510_x437.npy,6-6-21_z1600_y510_x437.npy,0.07760065793991089,0.8554529012074107,40914,0.0,ok
6-6-21_z1216_y344_x256.npy,6-6-21_z1216_y344_x256.npy,0.07762742042541504,0.6492783734649205,53906,0.0,ok
6-6-21_z4032_y561_x387.npy,6-6-21_z4032_y561_x387.npy,0.07769852876663208,0.8002194887740638,43738,0.0,ok
6-6-22_z1152_y638_x513.npy,6-6-22_z1152_y638_x513.npy,0.07772296667098999,0.8098290103889493,43219,0.0,ok
6-6-21_z1344_y320_x641.npy,6-6-21_z1344_y320_x641.npy,0.07773184776306152,0.741902662370697,47176,0.0,ok
6-6-21_z1408_y446_x564.npy,6-6-21_z1408_y446_x564.npy,0.07775038480758667,0.7699245473943553,45459,0.0,ok
6-6-22_z1216_y512_x624.npy,6-6-22_z1216_y512_x624.npy,0.07779926061630249,0.8245576836996725,42447,0.0,ok
6-6-21_z1792_y324_x309.npy,6-6-21_z1792_y324_x309.npy,0.07781720161437988,0.6674421709033354,52439,0.0,ok
6-6-21_z704_y315_x379.npy,6-6-21_z704_y315_x379.npy,0.07785040140151978,0.7138777841233581,49028,0.0,ok
6-6-21_z2048_y392_x567.npy,6-6-21_z2048_y392_x567.npy,0.07785934209823608,0.856856072661395,40847,0.0,ok
6-6-21_z3584_y380_x322.npy,6-6-21_z3584_y380_x322.npy,0.07786190509796143,0.7901569025849419,44295,0.0,ok
6-6-20 全部_z3904_y375_x525.npy,6-6-20 全部_z3904_y375_x525.npy,0.07787209749221802,1.0064122839807919,34777,0.0,ok
6-6-21_z1344_y640_x449.npy,6-6-21_z1344_y640_x449.npy,0.07806575298309326,0.7487591990415883,46744,0.0,ok
6-6-21_z1088_y336_x445.npy,6-6-21_z1088_y336_x445.npy,0.07811093330383301,0.709162377922762,49354,0.0,ok
6-6-22_z3904_y559_x447.npy,6-6-22_z3904_y559_x447.npy,0.07815802097320557,0.8567092573554609,40854,0.0,ok
6-6-21_z768_y508_x633.npy,6-6-21_z768_y508_x633.npy,0.07815974950790405,0.736098258601834,47548,0.0,ok
6-6-20 全部_z3968_y376_x523.npy,6-6-20 全部_z3968_y376_x523.npy,0.07816833257675171,0.9935842843354341,35226,0.0,ok
6-6-21_z1408_y318_x500.npy,6-6-21_z1408_y318_x500.npy,0.07826173305511475,0.7311315827954293,47871,0.0,ok
6-6-21_z1280_y277_x449.npy,6-6-21_z1280_y277_x449.npy,0.07827192544937134,0.6696642112312254,52265,0.0,ok
6-6-21_z3328_y333_x394.npy,6-6-21_z3328_y333_x394.npy,0.07829147577285767,0.7740280419302048,45218,0.0,ok
6-6-22_z3904_y623_x511.npy,6-6-22_z3904_y623_x511.npy,0.07830607891082764,0.8280691792651478,42267,0.0,ok
6-6-21_z3712_y310_x447.npy,6-6-21_z3712_y310_x447.npy,0.07832849025726318,0.7892303876248675,44347,0.0,ok
6-6-21_z2112_y329_x439.npy,6-6-21_z2112_y329_x439.npy,0.07838082313537598,0.7404273323460969,47270,0.0,ok
6-6-21_z5440_y597_x559.npy,6-6-21_z5440_y597_x559.npy,0.07838153839111328,0.7830152799838923,44699,0.0,ok
6-6-22_z2944_y457_x307.npy,6-6-22_z2944_y457_x307.npy,0.07838338613510132,0.8071211142883498,43364,0.0,ok
6-6-21_z1600_y382_x309.npy,6-6-21_z1600_y382_x309.npy,0.07840949296951294,0.6942929122612128,50411,0.0,ok
6-6-21_z1856_y453_x499.npy,6-6-21_z1856_y453_x499.npy,0.07844030857086182,0.8028627792815525,43594,0.0,ok
6-6-21_z2432_y399_x377.npy,6-6-21_z2432_y399_x377.npy,0.07848262786865234,0.8071025020177562,43365,0.0,ok
6-6-20 全部_z5696_y498_x403.npy,6-6-20 全部_z5696_y498_x403.npy,0.07851272821426392,0.8358408559010364,41874,0.0,ok
6-6-21_z768_y316_x377.npy,6-6-21_z768_y316_x377.npy,0.07852315902709961,0.7138777841233581,49028,0.0,ok
6-6-22_z1024_y500_x277.npy,6-6-22_z1024_y500_x277.npy,0.07855337858200073,0.7881817772373103,44406,0.0,ok
6-6-21_z3584_y252_x386.npy,6-6-21_z3584_y252_x386.npy,0.07857662439346313,0.6609260518166025,52956,0.0,ok
6-6-21_z1536_y574_x500.npy,6-6-21_z1536_y574_x500.npy,0.07857871055603027,0.8160600620205647,42889,0.0,ok
6-6-21_z1856_y517_x435.npy,6-6-21_z1856_y517_x435.npy,0.07877790927886963,0.7927878952613935,44148,0.0,ok
