Epoch,Global_Step,Time,LR,VAE_Total_Loss,Rec_Loss(L1),P_Loss(LPIPS),KL_Loss,G_Loss(Adv),D_Weight,D_Loss(Disc),Logits_Real,Logits_Fake
1,984,2026-01-25 10:56:52,4.50e-06,0.499430,0.126533,0.339844,33052.574219,-0.067383,0.0000,0.000000,0.0000,0.0000
1,985,2026-01-25 10:56:55,4.50e-06,0.434572,0.095300,0.308594,30678.195312,-0.104492,0.0000,0.000000,0.0000,0.0000
1,986,2026-01-25 10:56:58,4.50e-06,0.428951,0.065687,0.332031,31232.689453,-0.095703,0.0000,0.000000,0.0000,0.0000
1,987,2026-01-25 10:57:01,4.50e-06,0.454760,0.083122,0.339844,31794.566406,-0.073730,0.0000,0.000000,0.0000,0.0000
1,988,2026-01-25 10:57:04,4.50e-06,0.468648,0.112952,0.326172,29524.406250,-0.094238,0.0000,0.000000,0.0000,0.0000
1,989,2026-01-25 10:57:07,4.50e-06,0.402023,0.082884,0.287109,32029.714844,-0.074707,0.0000,0.000000,0.0000,0.0000
1,990,2026-01-25 10:57:10,4.50e-06,0.431033,0.092420,0.304688,33925.664062,-0.074219,0.0000,0.000000,0.0000,0.0000
1,991,2026-01-25 10:57:13,4.50e-06,0.448718,0.115825,0.298828,34064.273438,-0.088379,0.0000,0.000000,0.0000,0.0000
1,992,2026-01-25 10:57:16,4.50e-06,0.443874,0.103784,0.308594,31496.785156,-0.098145,0.0000,0.000000,0.0000,0.0000
1,993,2026-01-25 10:57:19,4.50e-06,0.507661,0.142602,0.332031,33027.539062,-0.064941,0.0000,0.000000,0.0000,0.0000
1,994,2026-01-25 10:57:22,4.50e-06,0.401225,0.065797,0.302734,32693.917969,-0.112793,0.0000,0.000000,0.0000,0.0000
1,995,2026-01-25 10:57:25,4.50e-06,0.394784,0.071412,0.291016,32356.082031,-0.076172,0.0000,0.000000,0.0000,0.0000
1,996,2026-01-25 10:57:28,4.50e-06,0.511326,0.148551,0.332031,30744.152344,-0.101562,0.0000,0.000000,0.0000,0.0000
1,997,2026-01-25 10:57:31,4.50e-06,0.416599,0.070753,0.310547,35298.347656,-0.070801,0.0000,0.000000,0.0000,0.0000
1,998,2026-01-25 10:57:34,4.50e-06,0.397984,0.057179,0.306641,34164.632812,-0.066895,0.0000,0.000000,0.0000,0.0000
1,999,2026-01-25 10:57:37,4.50e-06,0.392016,0.053582,0.306641,31792.597656,-0.078125,0.0000,0.000000,0.0000,0.0000
